Location,Area,Price,New/Resale,House_Type,bhk,bath,Floor,Age,Gym,Lift,Car_Parking,Security,Play_area,Clubhouse,Indoor_Games,Gas,Jogging_Track,Swimming_Pool
Andheri,1000,14000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,0,1
Andheri,1480,30000000,0,Apartment,3,3,More than 5,,0,1,1,1,1,1,0,0,0,0
Kharghar,1150,9500000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,1,1,1
Kharghar,1150,9900000,1,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,1,1
Kharghar,1700,18500000,0,Apartment,3,3,More than 5,,1,1,1,1,1,1,0,0,1,1
Kharghar,1015,8200000,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,0,0,0
Kharghar,1150,9300000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,1,1
Kharghar,750,5800000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Kharghar,1800,14200000,0,Apartment,3,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Kharghar,1605,15500000,0,Apartment,3,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Kharghar,1040,7900000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,1,1,0
Kharghar,1580,10500000,0,Apartment,3,3,More than 5,,1,1,1,1,1,0,0,0,1,0
Kharghar,1255,11000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Kharghar,660,5300000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,1,1
Kharghar,1580,10100000,0,Apartment,3,3,More than 5,,1,1,1,1,1,0,0,0,1,0
Kharghar,1100,10000000,0,Independent House,2,2,0,,1,1,1,1,1,0,0,0,1,1
Kharghar,1150,13000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Panvel,1133,11399999,1,Apartment,2,2,More than 5,,1,0,0,1,1,1,1,0,1,1
Borivali,1423,31500000,1,Apartment,3,3,More than 5,,1,1,1,1,1,1,0,1,1,1
Malad,1500,23300000,1,Apartment,3,3,More than 5,,0,1,0,0,0,0,0,0,0,1
Andheri,3300,110000000,1,Apartment,4,4,More than 5,,0,0,0,0,0,0,0,0,0,0
Chembur,440,10000000,1,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,1,1
Kamothe,475,3500000,0,Apartment,1,1,More than 5,,0,0,0,0,0,0,0,0,0,0
Malad West,750,9200000,1,Apartment,1,1,5,,1,1,1,1,1,1,1,0,1,1
Shastri Nagar,1050,29000000,0,Apartment,3,3,More than 5,,1,1,1,1,1,0,0,0,0,0
